filename,label
happy/smiling-girl-1024x683.jpg,3
happy/portrait-of-a-real-caucasian-adult-woman-with-funny-expression-looking-to-the-side.jpg,3
happy/smiling-people-set-men-women-portrait-face-smile-78940727.jpg,3
happy/portrait-of-beautiful-man.jpg,3
happy/smiling-people2.jpg,3
happy/set-of-mixed-race-people-portraits-smiling-on-different-backgrounds.jpg,3
happy/smiles_11.jpg,3
happy/portrait-of-senior-happy-and-cheerful-woman-standing-against-a-red-studio-background-mature.jpg,3
happy/portrait-of-smiling-young-asian-woman.jpg,3
happy/portraits-of-a-beautiful-black-woman.jpg,3
happy/young-female-medical-professional-talking-with-colleague-in-clinic.jpg,3
happy/Smile-people.jpg,3
happy/people_smiling.jpg,3
happy/never-leave-home-without-a-smile.jpg,3
happy/portrait-of-adult-bald-smiling-attractive-man-forty-years-with-beard-in-blue-shirt.jpg,3
happy/studio-portrait-of-cute-african-boy-laughing.jpg,3
happy/two-glad-positive-grinning-lady-stand-in-glasses-spectacles-street-style-stylish-trendy-cool.jpg,3
happy/mature-handsome-business-man.jpg,3
happy/smiles_05.jpg,3
happy/OIP.EfxVeormEU8m12JuCFGFSAHaDi.jpg,3
happy/smiling-man-texting-at-night.jpg,3
happy/portrait-of-attractive-asian-woman-in-a-park.jpg,3
happy/portrait-of-happy-mature-man-smiling.jpg,3
happy/man-happy-facial-expression-10769888.jpg,3
happy/portrait-of-a-smiling-beautiful-woman.jpg,3
happy/shot-of-young-brazilian-woman.jpg,3
happy/smiles_44.jpg,3
happy/studio-shot-of-happy-young-woman-with-eyes-closed-daydreaming.jpg,3
happy/portrait-of-a-young-student-man-at-university.jpg,3
happy/smiling-attractive-young-woman-looking-at-camera-slow-motion-portrait.jpg,3
happy/thinking-face-and-profile-of-woman-by-window-motivation-and-future-goals.jpg,3
happy/smiles_40.jpg,3
happy/OIP.Oy5dMMkpcxsTZVXtkiPaRgHaHa.jpg,3
happy/mid-adult-man-smiling-on-gray-background.jpg,3
happy/outdoor-beauty-portrait-of-casual-young-woman-with-beautiful-smile.jpg,3
happy/OIP.6sWlAR-R9rdLrin5R6cFtwHaE8.jpg,3
happy/photo-relaxed-charming-positive-young-woman-hold-camera-and-make-selfie-summer-outside-in.jpg,3
happy/young-woman-standing-in-front-of-the-building.jpg,3
happy/showing-off-his-pearly-whites.jpg,3
happy/smiling-mature-man.jpg,3
happy/portrait-of-a-boy-outdoors.jpg,3
happy/smiles_27.jpg,3
happy/stock-photo-smiling-people-347658314.jpg,3
happy/portrait-of-happy-smiling-man.jpg,3
happy/photo-of-young-curly-girl.jpg,3
happy/preteen-boy-smiling-on-playground.jpg,3
happy/smiley-people-celebrating-with-drinks-medium-shot_23-2149386882.jpg,3
happy/portrait-of-redhead-girl-with-freckles-on-summer-blurred-background-cheerful-and-happy.jpg,3
happy/smiles_38.jpg,3
happy/OIF.mOpQqbt2K8TGQWThuYhvdA.jpg,3
happy/young-beautiful-woman-wearing-green-shirt-and-glasses-over-yelllow-isolated-background.jpg,3
